model,benchmark,topology,cells,mean_interaction,median_interaction,mean_absolute_interaction,negative_rate
qwen3_vl_4b,herbench,boundary_outside,1500,-0.02838099523376574,0.00022829626686871052,0.5701318992746005,0.4886666666666667
qwen3_vl_4b,herbench,evidence_boundary,1500,-0.09863918256021342,-0.0025446591898798943,0.7933510704380022,0.5166666666666667
qwen3_vl_4b,herbench,evidence_evidence_distinct_interval,1143,-0.0007028579605133477,3.933916900678014e-06,1.0963525592590917,0.49431321084864394
qwen3_vl_4b,herbench,evidence_evidence_same_interval,357,-0.1935535915108293,0.0012034893734380603,0.8747942380074373,0.4957983193277311
qwen3_vl_4b,herbench,evidence_outside,1500,-0.07393428668022034,-0.010554480366408825,0.7327366168799272,0.52
qwen3_vl_4b,herbench,outside_outside,1500,0.0049782307711446,0.001229944871738553,0.49297580545557623,0.486
