model,benchmark,pair_type,cells,mean_interaction,median_interaction,mean_absolute_interaction,negative_rate
internvl35_38b,herbench,boundary_outside,75,-0.003499329512317975,0.013915300369262695,0.21583609811961652,0.48
internvl35_38b,herbench,evidence_boundary,75,-0.05635115290681521,-0.002101004123687744,0.2621607812742392,0.5333333333333333
internvl35_38b,herbench,evidence_evidence,75,-0.2859456861267487,-0.10459905862808228,0.6947017709662517,0.6133333333333333
internvl35_38b,herbench,evidence_outside,75,-0.120549045180281,-0.0909917950630188,0.2860329210013151,0.6533333333333333
internvl35_38b,herbench,outside_outside,75,0.03398751959204674,0.002976357936859131,0.20148819396893183,0.48
