model,benchmark,items,source_video_clusters,equal_video_absolute_interaction_gap,item_context_weighted_gap,ci_low,ci_high,p_two_sided,draws,p_bh
internvl35_38b,herbench,500,49,0.2553910182598227,0.25533592511690223,0.19904201208039043,0.32017501253357195,9.999000099990002e-05,10000,0.00010587176576460002
internvl35_38b,lvbench,500,103,0.8032388240564098,0.7394648610482435,0.6569494753236634,0.9573549326444346,9.999000099990002e-05,10000,0.00010587176576460002
internvl35_38b,nextgqa,500,384,0.5966618206901891,0.5864819688072409,0.49363923519707253,0.7072418801646679,9.999000099990002e-05,10000,0.00010587176576460002
internvl35_8b,herbench,500,49,0.1847399067721882,0.17196599706363486,0.14550835585827002,0.22766819977460206,9.999000099990002e-05,10000,0.00010587176576460002
internvl35_8b,lvbench,500,103,0.7821762878960317,0.7487201941146784,0.6236971357911381,0.9481625664455438,9.999000099990002e-05,10000,0.00010587176576460002
internvl35_8b,nextgqa,500,384,0.4634513352168195,0.4808325877123133,0.38121475284155376,0.5522173842836453,9.999000099990002e-05,10000,0.00010587176576460002
perception_lm_8b,herbench,500,49,0.25372020120665445,0.24252408417794505,0.2003484584727839,0.308352573139716,9.999000099990002e-05,10000,0.00010587176576460002
perception_lm_8b,lvbench,500,103,0.7518909111337724,0.7079922709472767,0.597337610585928,0.9203548906821879,9.999000099990002e-05,10000,0.00010587176576460002
perception_lm_8b,nextgqa,500,384,0.4898796682898399,0.510841913943555,0.39882512124100905,0.5893325918086663,9.999000099990002e-05,10000,0.00010587176576460002
qwen3_vl_32b,herbench,500,49,0.6182842726250803,0.6417231495426777,0.4956201779744529,0.7535279136276837,9.999000099990002e-05,10000,0.00010587176576460002
qwen3_vl_32b,lvbench,500,103,2.5113688040646163,2.3842168300207285,2.083904451086496,2.973422521306671,9.999000099990002e-05,10000,0.00010587176576460002
qwen3_vl_32b,nextgqa,500,384,1.1384014184946454,1.1716271065627395,0.9509577567467064,1.346158194247273,9.999000099990002e-05,10000,0.00010587176576460002
qwen3_vl_4b,herbench,500,49,0.47475923478706333,0.4863594702795093,0.372871471314063,0.5819543000230374,9.999000099990002e-05,10000,0.00010587176576460002
qwen3_vl_4b,lvbench,500,103,1.815791484943833,1.7188800366693109,1.4913417920762289,2.1548993789607334,9.999000099990002e-05,10000,0.00010587176576460002
qwen3_vl_4b,nextgqa,500,384,0.9299343944691071,0.9390411032539341,0.7592573382217789,1.1130730141081535,9.999000099990002e-05,10000,0.00010587176576460002
videollama3_7b,herbench,500,49,0.02138382411547523,0.018421823049585024,0.012167772335780275,0.030532004105384813,0.00029997000299970003,10000,0.00029997000299970003
videollama3_7b,lvbench,500,103,0.16546314430049008,0.1665679544840629,0.13371927214604265,0.19919661137198583,9.999000099990002e-05,10000,0.00010587176576460002
videollama3_7b,nextgqa,500,384,0.08925163682094232,0.08535687240120024,0.06731650548757628,0.11377612778755132,9.999000099990002e-05,10000,0.00010587176576460002
