metric,condition,settings,primary_minus_sensitivity,ci_low,ci_high
gold_vs_rest_logodds,plain_dpp_8,18,-0.05656410216367231,-0.12918005570133764,0.015151873273739234
gold_vs_rest_logodds,mdp3_8,18,-0.061270011926979846,-0.13627748049922797,0.015135959986013104
correct,plain_dpp_8,18,-0.008336492509607336,-0.01889148806477289,0.0023162890901629214
correct,mdp3_8,18,-0.0023352074318820234,-0.011902055068611262,0.007689072414865412
