pair_type,settings,positive_complementarity,joint_worse_than_best_singleton,both_help_but_joint_worse,complementary_rescue,destructive_interference,both_singletons_correct_joint_wrong,mean_joint_penalty_vs_best
boundary_outside,18,0.5019259259259259,0.7111851851851853,0.10925925925925926,0.010555555555555556,0.05322222222222222,0.00874074074074074,0.41516820862946197
evidence_boundary,18,0.47603703703703704,0.6667777777777778,0.13274074074074074,0.013037037037037036,0.05440740740740741,0.009148148148148148,0.36790509374304736
evidence_evidence,18,0.4492962962962963,0.6237777777777778,0.1488888888888889,0.015925925925925927,0.05414814814814815,0.009000000000000001,0.29876785574661735
evidence_outside,18,0.49837037037037035,0.6901851851851852,0.1121851851851852,0.012,0.05544444444444444,0.008666666666666666,0.4362517232780591
outside_outside,18,0.4968518518518519,0.7267037037037036,0.09981481481481481,0.009222222222222222,0.05388888888888889,0.00962962962962963,0.40201673348943445
