experiment,model,benchmark,contrast,clusters,estimate,ci_low,ci_high,p_two_sided,draws,p_bh_within_experiment,ci_width,ci_half_width
e4,internvl35_38b,herbench,evidence_minus_outside_absolute_interaction,49,0.2619154092634194,0.2110556687505828,0.3181714398889652,9.999000099990002e-05,10000,0.0001199880011998,0.10711577113838239,0.053557885569191194
e4,internvl35_38b,lvbench,evidence_minus_outside_absolute_interaction,103,0.684295066227474,0.5562431158375613,0.826015522811723,9.999000099990002e-05,10000,0.0001199880011998,0.2697724069741617,0.13488620348708086
e4,internvl35_38b,nextgqa,evidence_minus_outside_absolute_interaction,384,0.4743667843883901,0.3890433278434368,0.5652987290910015,9.999000099990002e-05,10000,0.0001199880011998,0.17625540124756472,0.08812770062378236
e4,internvl35_8b,herbench,evidence_minus_outside_absolute_interaction,49,0.2046365452136558,0.1648523259544992,0.2506900086469955,9.999000099990002e-05,10000,0.0001199880011998,0.08583768269249628,0.04291884134624814
e4,internvl35_8b,lvbench,evidence_minus_outside_absolute_interaction,103,0.7365071602927543,0.5802108971291257,0.9074791263747728,9.999000099990002e-05,10000,0.0001199880011998,0.32726822924564714,0.16363411462282357
e4,internvl35_8b,nextgqa,evidence_minus_outside_absolute_interaction,384,0.3748016052723344,0.3022604667011375,0.4530419438441124,9.999000099990002e-05,10000,0.0001199880011998,0.1507814771429749,0.07539073857148745
e4,perception_lm_8b,herbench,evidence_minus_outside_absolute_interaction,49,0.2523201913873312,0.200259535187342,0.312991180385207,9.999000099990002e-05,10000,0.0001199880011998,0.11273164519786502,0.05636582259893251
e4,perception_lm_8b,lvbench,evidence_minus_outside_absolute_interaction,103,0.7387685211099061,0.5900161103470484,0.9088281251570702,9.999000099990002e-05,10000,0.0001199880011998,0.31881201481002186,0.15940600740501093
e4,perception_lm_8b,nextgqa,evidence_minus_outside_absolute_interaction,384,0.4379471541853437,0.3483704875980483,0.5353810824122597,9.999000099990002e-05,10000,0.0001199880011998,0.1870105948142114,0.0935052974071057
e4,qwen3_vl_32b,herbench,evidence_minus_outside_absolute_interaction,49,0.5684823142057747,0.4824016010563266,0.6604427510835026,9.999000099990002e-05,10000,0.0001199880011998,0.17804115002717597,0.08902057501358798
e4,qwen3_vl_32b,lvbench,evidence_minus_outside_absolute_interaction,103,2.298537827506645,1.906189332525128,2.708869426841665,9.999000099990002e-05,10000,0.0001199880011998,0.8026800943165371,0.40134004715826854
e4,qwen3_vl_32b,nextgqa,evidence_minus_outside_absolute_interaction,384,0.9401569903364484,0.7817191712795403,1.1131121904308403,9.999000099990002e-05,10000,0.0001199880011998,0.33139301915130004,0.16569650957565002
e4,qwen3_vl_4b,herbench,evidence_minus_outside_absolute_interaction,49,0.5517616841535764,0.4527641261569428,0.6527382136522015,9.999000099990002e-05,10000,0.0001199880011998,0.19997408749525875,0.09998704374762937
e4,qwen3_vl_4b,lvbench,evidence_minus_outside_absolute_interaction,103,1.7448610570440168,1.4311228156991775,2.076254261943565,9.999000099990002e-05,10000,0.0001199880011998,0.6451314462443876,0.3225657231221938
e4,qwen3_vl_4b,nextgqa,evidence_minus_outside_absolute_interaction,384,0.9495025543584656,0.7858810906410951,1.1208938522677796,9.999000099990002e-05,10000,0.0001199880011998,0.3350127616266845,0.16750638081334224
e4,videollama3_7b,herbench,evidence_minus_outside_absolute_interaction,49,0.0292501198147968,0.0174270633074855,0.0437835440698987,9.999000099990002e-05,10000,0.0001199880011998,0.0263564807624132,0.0131782403812066
e4,videollama3_7b,lvbench,evidence_minus_outside_absolute_interaction,103,0.2512062313804319,0.2058038281571222,0.2977720286849522,9.999000099990002e-05,10000,0.0001199880011998,0.09196820052782997,0.04598410026391499
e4,videollama3_7b,nextgqa,evidence_minus_outside_absolute_interaction,384,0.0911323150235316,0.0684153797827228,0.1161356584743872,9.999000099990002e-05,10000,0.0001199880011998,0.0477202786916644,0.0238601393458322
