,estimate,ci_width,ci_half_width,clusters
min,0.0292501198147968,0.0263564807624132,0.0131782403812066,49.0
median,0.5130642342709832,0.18252587242069368,0.09126293621034684,103.0
max,2.298537827506645,0.8026800943165371,0.40134004715826854,384.0
