model,benchmark,selector,accuracy,mean_logodds
qwen3_vl_4b,herbench,random8,0.476,-0.8774855790376646
qwen3_vl_4b,herbench,uniform8,0.484,-1.1377538790144646
qwen3_vl_4b,herbench,dino_diversity8,0.488,-0.9460099342380367
qwen3_vl_4b,herbench,dino_change8,0.478,-1.1274752560228425
qwen3_vl_4b,lvbench,siglip_dino_submodular8,0.394,-0.7243056192340465
qwen3_vl_4b,lvbench,bolt_its8,0.386,-0.9232539064616446
qwen3_vl_4b,lvbench,siglip_relevance8,0.398,-0.8057139336830528
qwen3_vl_4b,lvbench,random8,0.342,-1.248336784117744
qwen3_vl_4b,lvbench,uniform8,0.354,-1.0054090518059633
qwen3_vl_4b,lvbench,dino_diversity8,0.33,-1.4806383573393418
qwen3_vl_4b,lvbench,dino_change8,0.346,-1.1257219111237382
qwen3_vl_4b,nextgqa,siglip_dino_submodular8,0.7292929292929293,4.834111344950648
qwen3_vl_4b,nextgqa,bolt_its8,0.7373737373737373,4.7282362373893205
qwen3_vl_4b,nextgqa,siglip_relevance8,0.705050505050505,4.400699041317061
qwen3_vl_4b,nextgqa,random8,0.7212121212121212,4.626301393548631
qwen3_vl_4b,nextgqa,uniform8,0.7333333333333333,4.632769487749669
qwen3_vl_4b,nextgqa,dino_diversity8,0.7393939393939394,4.691931902695011
qwen3_vl_4b,nextgqa,dino_change8,0.7191919191919192,4.429522939482223
videollama3_7b,herbench,siglip_dino_submodular8,0.294,-1.433699780806899
videollama3_7b,herbench,bolt_its8,0.308,-1.3939188741594553
videollama3_7b,herbench,siglip_relevance8,0.308,-1.4427852894514799
videollama3_7b,herbench,random8,0.312,-1.4045987829118967
videollama3_7b,herbench,uniform8,0.304,-1.4345960970818996
videollama3_7b,herbench,dino_diversity8,0.286,-1.4339177008867263
videollama3_7b,herbench,dino_change8,0.298,-1.4194756109416484
videollama3_7b,lvbench,siglip_dino_submodular8,0.312,-1.2934785755909979
videollama3_7b,lvbench,bolt_its8,0.326,-1.2772440525218844
videollama3_7b,lvbench,siglip_relevance8,0.334,-1.2915201062709094
videollama3_7b,lvbench,random8,0.318,-1.3120387874878943
videollama3_7b,lvbench,uniform8,0.286,-1.34379159225896
videollama3_7b,lvbench,dino_diversity8,0.29,-1.3417491928637029
videollama3_7b,lvbench,dino_change8,0.278,-1.3505678893886506
videollama3_7b,nextgqa,siglip_dino_submodular8,0.6222222222222222,-0.12105648090140989
videollama3_7b,nextgqa,bolt_its8,0.6282828282828283,-0.07511226803421824
videollama3_7b,nextgqa,siglip_relevance8,0.6121212121212121,-0.1409808920489417
videollama3_7b,nextgqa,random8,0.6323232323232323,-0.09330725310784248
videollama3_7b,nextgqa,uniform8,0.6323232323232323,-0.10077251392049771
videollama3_7b,nextgqa,dino_diversity8,0.6242424242424243,-0.13953627691218498
videollama3_7b,nextgqa,dino_change8,0.5959595959595959,-0.16783277425595156
