analysis,settings,positive,median,minimum,maximum
exclude_abs_interaction_gt_10,18,18,0.5075992754114399,0.030092114597558978,1.1797669114250278
raw,18,18,0.5071856692828847,0.030092114597558978,2.2366670773260773
trimmed_at_cell_p99,18,18,0.41096957897175956,0.01851383399305441,1.8688127565230737
winsorized_at_cell_p99,18,18,0.4856154872858807,0.02529152933120725,2.1713187738213744
