model,benchmark,analysis,evidence_minus_outside_gap,records,cell_p99_threshold
videollama3_7b,herbench,raw,0.030092114597558978,3000,0.49032330304384114
videollama3_7b,herbench,winsorized_at_cell_p99,0.02529152933120725,3000,0.49032330304384114
videollama3_7b,herbench,trimmed_at_cell_p99,0.01851383399305441,2970,0.49032330304384114
videollama3_7b,herbench,exclude_abs_interaction_gt_10,0.030092114597558978,3000,0.49032330304384114
videollama3_7b,lvbench,raw,0.2565874154906099,3000,2.4732943874225017
videollama3_7b,lvbench,winsorized_at_cell_p99,0.24716143701827775,3000,2.4732943874225017
videollama3_7b,lvbench,trimmed_at_cell_p99,0.2044321388020212,2970,2.4732943874225017
videollama3_7b,lvbench,exclude_abs_interaction_gt_10,0.2565874154906099,3000,2.4732943874225017
videollama3_7b,nextgqa,raw,0.09179672534236065,3000,1.2617910853028271
videollama3_7b,nextgqa,winsorized_at_cell_p99,0.08096659027401354,3000,1.2617910853028271
videollama3_7b,nextgqa,trimmed_at_cell_p99,0.06042017974571218,2970,1.2617910853028271
videollama3_7b,nextgqa,exclude_abs_interaction_gt_10,0.09179672534236065,3000,1.2617910853028271
