selector,metric,equal_setting_mean,between_setting_sd,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high,bootstrap_draws
siglip_dino_submodular8,accuracy,0.5280864197530862,0.1827218803585495,0.5088409930792581,0.5484547199028541,2000
siglip_dino_submodular8,mean_logodds,0.6261555623164452,2.518758931571669,0.43576453120602315,0.8258898085901323,2000
bolt_its8,accuracy,0.5256150392817059,0.17794076071303888,0.5064584077292127,0.5459114796416332,2000
bolt_its8,mean_logodds,0.6089368830406678,2.5133019017528957,0.42096560335021865,0.8112055617962297,2000
siglip_relevance8,accuracy,0.5229124579124579,0.17295325538106238,0.5042867329009816,0.5417217022118134,2000
siglip_relevance8,mean_logodds,0.5411131926096661,2.411039230399029,0.3465982253602736,0.7439791827757539,2000
random8,accuracy,0.5125982042648709,0.182455820187546,0.4937850147930918,0.5321992298736617,2000
random8,mean_logodds,0.49442774614628526,2.489127871290902,0.312880385695165,0.6941698341286928,2000
uniform8,accuracy,0.5120830527497193,0.19302834896934543,0.4934350935138421,0.5321582409486488,2000
uniform8,mean_logodds,0.47933533312637355,2.5306267905038786,0.2947842777393109,0.6771122868506875,2000
dino_diversity8,accuracy,0.5102873176206509,0.1926829386003995,0.48957043115253834,0.5322812652404223,2000
dino_diversity8,mean_logodds,0.43000473381513726,2.506862881448624,0.24074824572269543,0.6335086218672007,2000
dino_change8,accuracy,0.5012334455667788,0.18490417058912553,0.4816504129826178,0.5224755486411098,2000
dino_change8,mean_logodds,0.4100767220159331,2.396349960040925,0.22287682676078555,0.6116907418078796,2000
