model,benchmark,condition,items,accuracy,mean_logodds,evidence_recall_at_k,temporal_coverage,charged_candidate_frames,mean_seconds
qwen3_vl_4b,lvbench,aks_fixedk8,1549,0.40219496449322145,-0.5639626422534825,0.19423821820529374,0.7595271714807882,64.0,0.0799564508717625
qwen3_vl_4b,lvbench,bolt_its8,1549,0.3899289864428664,-0.7234469349439961,0.18431245965138798,0.751165403565621,64.0,0.07980189775943448
qwen3_vl_4b,lvbench,dino_change8,1549,0.3447385409941898,-1.0771909895128087,0.19682052937378955,0.759455434921056,64.0,0.07993656469976772
qwen3_vl_4b,lvbench,dino_diversity8,1549,0.3408650742414461,-1.2117657551027659,0.19932214331826986,0.8764689424826209,64.0,0.08003294213961755
qwen3_vl_4b,lvbench,random8,1549,0.3647514525500323,-1.086709159450543,0.190848934796643,0.8037031232524444,64.0,0.08003403187721603
qwen3_vl_4b,lvbench,siglip_dino_submodular8,1549,0.41058747579083277,-0.5391147779030872,0.19173660426081343,0.8216870708586227,64.0,0.07998472987027842
qwen3_vl_4b,lvbench,siglip_relevance8,1549,0.40219496449322145,-0.5639626422534825,0.19423821820529374,0.7595271714807882,64.0,0.0800068481573372
qwen3_vl_4b,lvbench,uniform8,1549,0.3524854744996772,-1.0094900867208099,0.17938992898644288,0.999999703573411,64.0,0.0800326869440048
