model,benchmark,condition,items,accuracy,mean_logodds,evidence_recall_at_k,temporal_coverage,charged_candidate_frames,mean_seconds
internvl35_8b,herbench,aks_fixedk8,1971,0.4530695078640284,-0.5398128679549122,0.02271689497716895,0.7203208688075747,64.0,0.1133360013569871
internvl35_8b,herbench,bolt_its8,1971,0.4611872146118721,-0.546602024490393,0.02134703196347032,0.7481124532755875,64.0,0.11310828076831464
internvl35_8b,herbench,dino_change8,1971,0.45408422120750885,-0.5931616389249524,0.030593607305936073,0.6253735984154533,64.0,0.1131316342975572
internvl35_8b,herbench,dino_diversity8,1971,0.46930492135971585,-0.5615371002312536,0.020776255707762557,0.8717134172657633,64.0,0.11313401558023005
internvl35_8b,herbench,random8,1971,0.4657534246575342,-0.5609403997493209,0.02442922374429224,0.8014409623047865,64.0,0.11313396005809519
internvl35_8b,herbench,siglip_dino_submodular8,1971,0.45256215119228815,-0.5718034349257946,0.024885844748858448,0.7915517058917059,64.0,0.1131450833553351
internvl35_8b,herbench,siglip_relevance8,1971,0.4530695078640284,-0.5398128679549122,0.02271689497716895,0.7203208688075747,64.0,0.11313002173638113
internvl35_8b,herbench,uniform8,1971,0.4627092846270928,-0.5710332087635485,0.018493150684931507,0.9999932425710246,64.0,0.11312426497402801
