model,benchmark,pair_type,cells,mean_interaction,median_interaction,mean_absolute_interaction,negative_rate
perception_lm_8b,nextgqa,boundary_outside,75,-0.13692060380082088,-0.12499570706859231,0.3945035917093446,0.6133333333333333
perception_lm_8b,nextgqa,evidence_boundary,75,-0.20251413983309854,-0.13677130546420813,0.4560919819884536,0.64
perception_lm_8b,nextgqa,evidence_evidence,75,-0.07640440037980928,-0.06477317502867663,0.502141873984389,0.5733333333333334
perception_lm_8b,nextgqa,evidence_outside,75,-0.07174091289703938,-0.09797579422593117,0.36713633356590436,0.5866666666666667
perception_lm_8b,nextgqa,outside_outside,75,-0.09059884235872838,-0.057961821537901415,0.3129449982559284,0.5733333333333334
