model,benchmark,order,components,mean_component,mean_absolute_component,absolute_component_mass
perception_lm_8b,herbench,0,400,-1.7208764790021815,2.9533504256070593,1181.3401702428237
perception_lm_8b,herbench,1,1600,0.17711734742644694,0.7055563734089628,1128.8901974543405
perception_lm_8b,herbench,2,2400,0.001101392190266779,0.4665718547338292,1119.7724513611902
perception_lm_8b,herbench,3,1600,0.0381324012439245,0.39108295272466875,625.73272435947
perception_lm_8b,herbench,4,400,-0.0375186667325579,0.38509888799339026,154.0395551973561
