model,benchmark,order,components,mean_component,mean_absolute_component,absolute_component_mass,total_absolute_component_mass,fraction_absolute_component
qwen3_vl_32b,herbench,1,1600,0.5067378143386122,1.586961108963286,2539.1377743412577,6609.904803994309,0.3841413529597096
qwen3_vl_32b,herbench,2,2400,-0.011949219159871637,0.9674183210315442,2321.803970475706,6609.904803994309,0.35126133270068577
qwen3_vl_32b,herbench,3,1600,0.15304277278305192,0.854255637253933,1366.8090196062928,6609.904803994309,0.20678195225751841
qwen3_vl_32b,herbench,4,400,-0.006468127419905496,0.9553850989276317,382.1540395710527,6609.904803994309,0.057815362082086305
