model,benchmark,condition,items,accuracy,mean_logodds,median_logodds,mean_gold_probability,mean_seconds
internvl35_8b,herbench,dose1,500,0.494,-0.688147040859796,-0.562926322221756,0.4089982133517357,0.11325273132324219
internvl35_8b,herbench,dose2,500,0.53,-0.5323101855283603,-0.30276650190353394,0.4385615183698663,0.11205491304397583
internvl35_8b,herbench,dose4,500,0.562,-0.38462555316649377,0.07184204459190369,0.48320474702829697,0.11205973482131958
internvl35_8b,herbench,dose8,500,0.634,0.040785460875718854,0.5653642863035202,0.5594312348271504,0.1120040202140808
internvl35_8b,herbench,middle1,500,0.43,-0.6377289638977963,-1.0226098001003265,0.3999986819435318,0.03716627216339111
internvl35_8b,herbench,oracle4_distractor4,500,0.562,-0.38462555316649377,0.07184204459190369,0.48320474702829697,0.11201667976379394
internvl35_8b,herbench,oracle8,500,0.634,0.040785460875718854,0.5653642863035202,0.5594312348271504,0.11200985765457153
internvl35_8b,herbench,oracle8_reversed,500,0.408,-1.355027000089045,-1.171785220503807,0.36438800637402835,0.11201364850997925
internvl35_8b,herbench,oracle8_shuffled,500,0.45,-0.8693878892133944,-0.7967575490474701,0.40816355087135836,0.11196558427810668
internvl35_8b,herbench,question_only,500,0.358,-1.054913070714596,-1.1832275539636612,0.3326046715490807,0.02420183563232422
internvl35_8b,herbench,uniform16,500,0.468,-0.796789288122207,-0.6396333426237106,0.38972265166999304,0.20617400550842285
internvl35_8b,herbench,uniform32,500,0.438,-0.8710441758465022,-0.7999591678380966,0.39193858978510027,0.419863513469696
internvl35_8b,herbench,uniform4,500,0.512,-0.5522720959375147,-0.547713428735733,0.4257854517821499,0.06326357841491699
internvl35_8b,herbench,uniform8,500,0.496,-0.6129092439873494,-0.5322291553020477,0.41495936311138676,0.11192480325698853
