model,benchmark,condition,items,accuracy,mean_logodds,evidence_recall_at_k,temporal_coverage,charged_candidate_frames,mean_seconds
qwen3_vl_4b,nextgqa,aks_fixedk8,495,0.705050505050505,4.400699041317061,0.29747474747474745,0.6071947254030428,64.0,0.09320454115819449
qwen3_vl_4b,nextgqa,bolt_its8,495,0.7373737373737373,4.7282362373893205,0.278030303030303,0.7333081499444606,64.0,0.09202005790941643
qwen3_vl_4b,nextgqa,dino_change8,495,0.7191919191919192,4.429522939482223,0.2558080808080808,0.5467181695927527,64.0,0.0922254928434738
qwen3_vl_4b,nextgqa,dino_diversity8,495,0.7393939393939394,4.691931902695011,0.23585858585858585,0.8364946210308777,64.0,0.09178271727128462
qwen3_vl_4b,nextgqa,random8,495,0.7212121212121212,4.626301393548631,0.24343434343434345,0.7967979017534946,64.0,0.09172001318498091
qwen3_vl_4b,nextgqa,siglip_dino_submodular8,495,0.7292929292929293,4.834111344950648,0.2679292929292929,0.7946494456769818,64.0,0.0918464275321575
qwen3_vl_4b,nextgqa,siglip_relevance8,495,0.705050505050505,4.400699041317061,0.29747474747474745,0.6071947254030428,64.0,0.0917103531384709
qwen3_vl_4b,nextgqa,uniform8,495,0.7333333333333333,4.632769487749669,0.21237373737373738,0.9999652556383334,64.0,0.09163211090396149
