metric,new_selector,comparator,settings,macro_estimate,ci_low,ci_high
gold_vs_rest_logodds,mdp3_8,uniform8,18,0.27685257801820246,0.16863500440280121,0.3886213165181354
gold_vs_rest_logodds,mdp3_8,siglip_relevance8,18,0.19537902747471755,0.10488692814454392,0.28660022183897244
gold_vs_rest_logodds,mdp3_8,siglip_dino_submodular8,18,0.10582196832029293,0.02592761491929277,0.1841712916033769
gold_vs_rest_logodds,mdp3_8,bolt_its8,18,0.111542841737177,0.010686731893672953,0.21445196954379767
gold_vs_rest_logodds,plain_dpp_8,uniform8,18,0.2951786772625167,0.18886257474855267,0.4077654923391337
gold_vs_rest_logodds,plain_dpp_8,siglip_relevance8,18,0.21370512671903186,0.11636890940447989,0.31018581226301833
gold_vs_rest_logodds,plain_dpp_8,siglip_dino_submodular8,18,0.12414806756460724,0.048794007487152416,0.20047866636494815
gold_vs_rest_logodds,plain_dpp_8,bolt_its8,18,0.12986894098149135,0.023307449877395487,0.23802536134108934
correct,mdp3_8,uniform8,18,0.02582536091820746,0.012667307239425277,0.03920248287002876
correct,mdp3_8,siglip_relevance8,18,0.015488791398790043,0.004176046163333317,0.026963076870841905
correct,mdp3_8,siglip_dino_submodular8,18,0.009741453893659999,-0.000643726879097399,0.020100530027683538
correct,mdp3_8,bolt_its8,18,0.00957502398429178,-0.002680560720806425,0.021974931779977617
correct,plain_dpp_8,uniform8,18,0.023464733377061876,0.009243409050274407,0.03814455846436696
correct,plain_dpp_8,siglip_relevance8,18,0.013128163857644459,4.3579991758993605e-05,0.025782317580294874
correct,plain_dpp_8,siglip_dino_submodular8,18,0.007380826352514415,-0.003997350726072778,0.018804467705196688
correct,plain_dpp_8,bolt_its8,18,0.007214396443146195,-0.005867137876039291,0.020593084482334195
