model,benchmark,pair_type,cells,mean_interaction,median_interaction,mean_absolute_interaction,negative_rate
qwen3_vl_32b,nextgqa,boundary_outside,75,-0.10653919326596281,-0.0001926422119140625,0.6946612178629539,0.52
qwen3_vl_32b,nextgqa,evidence_boundary,75,-0.2690707217683999,-0.00028429552912712097,1.1069668532991124,0.5066666666666667
qwen3_vl_32b,nextgqa,evidence_evidence,75,-0.004012371607552818,0.000762939453125,1.2518055106735018,0.49333333333333335
qwen3_vl_32b,nextgqa,evidence_outside,75,-0.3548641324350415,-0.04137471318244934,0.9639318831158077,0.5733333333333334
qwen3_vl_32b,nextgqa,outside_outside,75,-0.018649761610285226,-0.012300851034524385,0.5105931091580979,0.5333333333333333
