model,benchmark,condition,items,accuracy,mean_logodds,median_logodds,mean_gold_probability,mean_seconds
qwen3_vl_4b,lvbench,dose1,500,0.458,0.45825014090479876,-0.6617320477962494,0.45693088522042213,0.08142254543304443
qwen3_vl_4b,lvbench,dose2,500,0.522,1.095545508236676,0.06323251128196716,0.5127879014209011,0.08043598222732544
qwen3_vl_4b,lvbench,dose4,500,0.57,1.6607692012839748,0.6083881258964539,0.5563815254656741,0.08061287975311279
qwen3_vl_4b,lvbench,dose8,500,0.65,2.7679136739107997,2.2181553281843662,0.6262587373332924,0.080666916847229
qwen3_vl_4b,lvbench,middle1,500,0.272,-2.394507803446849,-2.4237331598997116,0.2822172307009813,0.03628251266479492
qwen3_vl_4b,lvbench,oracle4_distractor4,500,0.57,1.6607692012839748,0.6083881258964539,0.5563815254656741,0.08077242469787597
qwen3_vl_4b,lvbench,oracle8,500,0.65,2.7679136739107997,2.2181553281843662,0.6262587373332924,0.08086226511001587
qwen3_vl_4b,lvbench,oracle8_reversed,500,0.602,2.4378343752724305,1.490261748433113,0.5968946048604485,0.08078932571411133
qwen3_vl_4b,lvbench,oracle8_shuffled,500,0.63,2.6905904697595453,1.9277817606925964,0.6176376209809973,0.08083714580535889
qwen3_vl_4b,lvbench,question_only,500,0.248,-3.0162499447107973,-2.9141248762607574,0.24612909773311117,0.023280826568603516
qwen3_vl_4b,lvbench,uniform16,500,0.386,-0.6682695734218914,-1.2645725384354591,0.37937929219299926,0.14816327381134034
qwen3_vl_4b,lvbench,uniform32,500,0.366,-0.3574391708829579,-1.166609287261963,0.3844958132369459,0.28446560716629027
qwen3_vl_4b,lvbench,uniform4,500,0.314,-1.4670801165526304,-1.8169778063893318,0.31749645529352716,0.05281290960311889
qwen3_vl_4b,lvbench,uniform8,500,0.356,-0.859152926461655,-1.402834564447403,0.3587895920236513,0.08087679195404053
