model,benchmark,condition,items,accuracy,mean_logodds,evidence_recall_at_k,temporal_coverage,charged_candidate_frames,mean_seconds
qwen3_vl_32b,lvbench,aks_fixedk8,1549,0.42156229825693997,-0.24513640169136874,0.19423821820529374,0.7595271714807882,64.0,0.2676142864338116
qwen3_vl_32b,lvbench,bolt_its8,1549,0.40606843124596514,-0.7039071321822924,0.18431245965138798,0.751165403565621,64.0,0.26765872017655395
qwen3_vl_32b,lvbench,dino_change8,1549,0.3712072304712718,-0.999480394401761,0.19682052937378955,0.759455434921056,64.0,0.26779699987407807
qwen3_vl_32b,lvbench,dino_diversity8,1549,0.3847643641058748,-1.0278251826081632,0.19932214331826986,0.8764689424826209,64.0,0.26766342944372384
qwen3_vl_32b,lvbench,random8,1549,0.3776630083925113,-0.959873344292363,0.190848934796643,0.8037031232524444,64.0,0.2678151814071035
qwen3_vl_32b,lvbench,siglip_dino_submodular8,1549,0.4170432537120723,-0.3153569869410922,0.19173660426081343,0.8216870708586227,64.0,0.2677537480656604
qwen3_vl_32b,lvbench,siglip_relevance8,1549,0.42156229825693997,-0.24513640169136874,0.19423821820529374,0.7595271714807882,64.0,0.26773639137780303
qwen3_vl_32b,lvbench,uniform8,1549,0.37830858618463525,-0.9879216070501953,0.17938992898644288,0.999999703573411,64.0,0.2677196114197171
