model,benchmark,condition,items,accuracy,mean_logodds,evidence_recall_at_k,temporal_coverage,charged_candidate_frames,mean_seconds,candidate_density
internvl35_38b,nextgqa,dino_diversity8,25,0.8,3.118642303306697,0.32,0.8698844172778728,128.0,0.5729910945892334,128
internvl35_38b,nextgqa,random8,25,0.8,2.5859906916807813,0.335,0.8179175488090326,128.0,0.5723939228057862,128
internvl35_38b,nextgqa,siglip_dino_submodular8,25,0.84,2.773418389719627,0.335,0.7605990285443341,128.0,0.572445125579834,128
internvl35_38b,nextgqa,siglip_relevance8,25,0.84,2.3770142735998525,0.415,0.5281701891487913,128.0,0.572593355178833,128
internvl35_38b,nextgqa,uniform8,25,0.84,2.418692560915442,0.26,0.9999573493576804,128.0,0.5722840976715088,128
perception_lm_8b,herbench,aks_fixedk8,25,0.28,-2.1714655683934687,0.045,0.7896730713961737,32.0,0.3310683059692383,32
perception_lm_8b,herbench,bolt_its8,25,0.32,-2.2335585728660226,0.06,0.7496731919548061,32.0,0.3077106380462646,32
perception_lm_8b,herbench,dino_change8,25,0.32,-2.324862667098641,0.025,0.7677376165330646,32.0,0.3078860092163086,32
perception_lm_8b,herbench,dino_diversity8,25,0.2,-2.34381579309702,0.025,0.8812854333007486,32.0,0.307911319732666,32
perception_lm_8b,herbench,random8,25,0.28,-2.2147568850964308,0.03,0.8012856223729156,32.0,0.3078394317626953,32
perception_lm_8b,herbench,siglip_dino_submodular8,25,0.2,-2.693773476630449,0.03,0.841285678877203,32.0,0.3079209327697754,32
perception_lm_8b,herbench,siglip_relevance8,25,0.28,-2.1714655683934687,0.045,0.7896730713961737,32.0,0.3078726863861084,32
perception_lm_8b,herbench,uniform8,25,0.24,-2.38428249835968,0.015,0.999994304890151,32.0,0.3081733989715576,32
perception_lm_8b,herbench,aks_fixedk8,25,0.16,-2.25170951589942,0.09,0.6151148743207021,128.0,0.3319649410247802,128
perception_lm_8b,herbench,bolt_its8,25,0.36,-2.383633731976152,0.05,0.73101948377936,128.0,0.308320083618164,128
perception_lm_8b,herbench,dino_change8,25,0.16,-2.118275226056576,0.065,0.6900749122800172,128.0,0.3081015586853027,128
perception_lm_8b,herbench,dino_diversity8,25,0.36,-2.1488618479669093,0.055,0.8617274598934321,128.0,0.3083559989929199,128
perception_lm_8b,herbench,random8,25,0.24,-2.245051648747176,0.065,0.8012552757061582,128.0,0.3084005546569824,128
perception_lm_8b,herbench,siglip_dino_submodular8,25,0.16,-2.8708686708658933,0.1,0.730074763002526,128.0,0.3080730056762695,128
perception_lm_8b,herbench,siglip_relevance8,25,0.16,-2.25170951589942,0.09,0.6151148743207021,128.0,0.3082513904571533,128
perception_lm_8b,herbench,uniform8,25,0.28,-2.3535855877399445,0.04,0.999994304890151,128.0,0.3081789779663086,128
perception_lm_8b,lvbench,aks_fixedk8,25,0.32,-1.901179677733453,0.085,0.7870965535220297,32.0,0.3181696605682373,32
perception_lm_8b,lvbench,bolt_its8,25,0.32,-2.1275074088317343,0.08,0.7470965599949992,32.0,0.2943021202087402,32
perception_lm_8b,lvbench,dino_change8,25,0.28,-2.003348738700152,0.07,0.7522578531532222,32.0,0.2940697002410888,32
