model,benchmark,pair_type,cells,mean_interaction,mean_absolute_interaction,score_scale
internvl35_8b,lvbench,evidence_boundary,1500,-0.0265669284804903,0.0798846608126103,probability
internvl35_8b,lvbench,evidence_evidence,1500,-0.0651966054577097,0.122437452864165,probability
internvl35_8b,lvbench,evidence_outside,1500,-0.0020999605100278,0.048261118657743,probability
internvl35_8b,lvbench,outside_outside,1500,-0.0025693600488057,0.0287704117767982,probability
internvl35_8b,nextgqa,boundary_outside,1500,-0.0066666666666666,0.076,accuracy
internvl35_8b,nextgqa,evidence_boundary,1500,-0.018,0.0926666666666666,accuracy
internvl35_8b,nextgqa,evidence_evidence,1500,-0.0346666666666666,0.1013333333333333,accuracy
internvl35_8b,nextgqa,evidence_outside,1500,-0.0113333333333333,0.0793333333333333,accuracy
internvl35_8b,nextgqa,outside_outside,1500,-0.0126666666666666,0.0566666666666666,accuracy
internvl35_8b,nextgqa,boundary_outside,1500,-0.0204751897264004,0.4404805437407814,logodds
internvl35_8b,nextgqa,evidence_boundary,1500,-0.166448029505219,0.6139663553098568,logodds
internvl35_8b,nextgqa,evidence_evidence,1500,-0.2623312620387805,0.736215493433063,logodds
internvl35_8b,nextgqa,evidence_outside,1500,-0.0390005404287056,0.476957410584667,logodds
internvl35_8b,nextgqa,outside_outside,1500,0.0011799044743207,0.355969392766742,logodds
internvl35_8b,nextgqa,boundary_outside,1500,-0.0062756556880744,0.0459257660138042,probability
internvl35_8b,nextgqa,evidence_boundary,1500,-0.0164439334761495,0.0615325969334199,probability
internvl35_8b,nextgqa,evidence_evidence,1500,-0.0255465292640173,0.0726492352921699,probability
internvl35_8b,nextgqa,evidence_outside,1500,-0.0074390828480825,0.0505672508742838,probability
internvl35_8b,nextgqa,outside_outside,1500,-0.0037840781947167,0.0373584461424056,probability
perception_lm_8b,herbench,boundary_outside,1500,-0.0106666666666666,0.08,accuracy
perception_lm_8b,herbench,evidence_boundary,1500,-0.0113333333333333,0.078,accuracy
perception_lm_8b,herbench,evidence_evidence,1500,-0.0066666666666666,0.1013333333333333,accuracy
perception_lm_8b,herbench,evidence_outside,1500,-0.0046666666666666,0.078,accuracy
perception_lm_8b,herbench,outside_outside,1500,0.0013333333333333,0.0693333333333333,accuracy
