model,benchmark,condition,items,accuracy,mean_logodds,evidence_recall_at_k,temporal_coverage,charged_candidate_frames,mean_seconds
qwen3_vl_32b,nextgqa,mdp3_8,495,0.8181818181818182,6.927746588430654,0.24797979797979797,0.8652877986211319,64.0,0.27876466789630927
qwen3_vl_32b,nextgqa,plain_dpp_8,495,0.8161616161616162,7.070372489809546,0.24924242424242424,0.8512425845759178,64.0,0.2782156279592803
