model,benchmark,order,components,mean_component,mean_absolute_component,absolute_component_mass,total_absolute_component_mass,fraction_absolute_component
internvl35_38b,lvbench,1,1600,0.7793883099070132,1.1714018478049166,1874.2429564878666,5237.104666723728,0.357877696887882
internvl35_38b,lvbench,2,2400,-0.38671543934143493,0.8098898224073104,1943.7355737775451,5237.104666723728,0.371146978621209
internvl35_38b,lvbench,3,1600,0.3080422861214527,0.713399948515592,1141.4399176249472,5237.104666723728,0.21795247379293237
internvl35_38b,lvbench,4,400,-0.24276642347520805,0.6942155470834234,277.68621883336937,5237.104666723728,0.05302285069797672
