model,benchmark,order,components,mean_component,mean_absolute_component,absolute_component_mass
internvl35_38b,lvbench,0,400,-0.7146227255250289,1.9480815500586448,779.2326200234579
internvl35_38b,lvbench,1,1600,0.7793883099070132,1.1714018478049166,1874.2429564878666
internvl35_38b,lvbench,2,2400,-0.38671543934143493,0.8098898224073104,1943.7355737775451
internvl35_38b,lvbench,3,1600,0.3080422861214527,0.713399948515592,1141.4399176249472
internvl35_38b,lvbench,4,400,-0.24276642347520805,0.6942155470834234,277.68621883336937
