model,benchmark,order,components,mean_component,mean_absolute_component,absolute_component_mass
internvl35_38b,herbench,0,400,-0.6396586479153484,1.596922817628365,638.769127051346
internvl35_38b,herbench,1,1600,0.11934469715029991,0.7216270498690573,1154.6032797904918
internvl35_38b,herbench,2,2400,0.02463372708900958,0.4346382302851877,1043.1317526844505
internvl35_38b,herbench,3,1600,-0.010085170403435768,0.3449162990188415,551.8660784301464
internvl35_38b,herbench,4,400,0.037706743585804364,0.3501479956406547,140.05919825626188
