model,benchmark,budget,method,metric,source_video_clusters,estimate,ci_low,ci_high,bootstrap_draws
internvl35_38b,nextgqa,2,pairwise,optimal_set_recovered,184,1.0,1.0,1.0,10000
internvl35_38b,nextgqa,2,pairwise,logodds_regret,184,0.0,0.0,0.0,10000
internvl35_38b,nextgqa,2,pairwise,gold_probability_regret,184,0.0,0.0,0.0,10000
internvl35_38b,nextgqa,2,pairwise,correct,184,0.8709239130434783,0.8274456521739131,0.9116847826086957,10000
internvl35_38b,nextgqa,2,singleton,optimal_set_recovered,184,0.603713768115942,0.5548007246376812,0.652626811594203,10000
internvl35_38b,nextgqa,2,singleton,logodds_regret,184,0.11670243325896278,0.09253850042134142,0.14295626680541637,10000
internvl35_38b,nextgqa,2,singleton,gold_probability_regret,184,0.008752432241751503,0.005567678689125173,0.01275869289263178,10000
internvl35_38b,nextgqa,2,singleton,correct,184,0.8614130434782609,0.8152173913043478,0.9035326086956522,10000
internvl35_38b,nextgqa,3,exhaustive,optimal_set_recovered,184,1.0,1.0,1.0,10000
internvl35_38b,nextgqa,3,exhaustive,logodds_regret,184,0.0,0.0,0.0,10000
internvl35_38b,nextgqa,3,exhaustive,gold_probability_regret,184,0.0,0.0,0.0,10000
internvl35_38b,nextgqa,3,exhaustive,correct,184,0.8654891304347826,0.8206521739130435,0.907608695652174,10000
internvl35_38b,nextgqa,3,pairwise,optimal_set_recovered,184,0.6784420289855072,0.6277173913043478,0.7259963768115942,10000
internvl35_38b,nextgqa,3,pairwise,logodds_regret,184,0.07808247540982982,0.060332682268162095,0.09798265457871608,10000
internvl35_38b,nextgqa,3,pairwise,gold_probability_regret,184,0.003105029849559053,0.001956374344158175,0.0044068858857867045,10000
internvl35_38b,nextgqa,3,pairwise,correct,184,0.8627717391304348,0.8179347826086957,0.904891304347826,10000
internvl35_38b,nextgqa,3,singleton,optimal_set_recovered,184,0.6209239130434783,0.5679347826086957,0.6739130434782609,10000
internvl35_38b,nextgqa,3,singleton,logodds_regret,184,0.14414537445163758,0.11050159247194193,0.18151039760505513,10000
internvl35_38b,nextgqa,3,singleton,gold_probability_regret,184,0.009023445715876518,0.0050499311301558224,0.01410550690716385,10000
internvl35_38b,nextgqa,3,singleton,correct,184,0.8573369565217391,0.8097826086956522,0.9008152173913043,10000
perception_lm_8b,herbench,2,exhaustive,optimal_set_recovered,48,1.0,1.0,1.0,10000
perception_lm_8b,herbench,2,exhaustive,logodds_regret,48,0.0,0.0,0.0,10000
perception_lm_8b,herbench,2,exhaustive,gold_probability_regret,48,0.0,0.0,0.0,10000
perception_lm_8b,herbench,2,exhaustive,correct,48,0.5215525793650794,0.4425055803571428,0.5980685763888889,10000
perception_lm_8b,herbench,2,pairwise,optimal_set_recovered,48,1.0,1.0,1.0,10000
perception_lm_8b,herbench,2,pairwise,logodds_regret,48,0.0,0.0,0.0,10000
perception_lm_8b,herbench,2,pairwise,gold_probability_regret,48,0.0,0.0,0.0,10000
perception_lm_8b,herbench,2,pairwise,correct,48,0.5215525793650794,0.4429557291666667,0.598493923611111,10000
perception_lm_8b,herbench,2,singleton,optimal_set_recovered,48,0.555807705026455,0.4995901537698413,0.6187609540343914,10000
perception_lm_8b,herbench,2,singleton,logodds_regret,48,0.24944616254450516,0.19424289308601925,0.3118048324414236,10000
perception_lm_8b,herbench,2,singleton,gold_probability_regret,48,0.0262790791074852,0.019966906166796507,0.03306906802843155,10000
perception_lm_8b,herbench,2,singleton,correct,48,0.4936590608465608,0.41645109953703696,0.5705700231481483,10000
perception_lm_8b,herbench,3,exhaustive,optimal_set_recovered,48,1.0,1.0,1.0,10000
perception_lm_8b,herbench,3,exhaustive,logodds_regret,48,0.0,0.0,0.0,10000
perception_lm_8b,herbench,3,exhaustive,gold_probability_regret,48,0.0,0.0,0.0,10000
perception_lm_8b,herbench,3,exhaustive,correct,48,0.507113921957672,0.43302827380952386,0.5799360325727513,10000
perception_lm_8b,herbench,3,pairwise,optimal_set_recovered,48,0.6638723544973545,0.5878935185185186,0.7336078042328041,10000
perception_lm_8b,herbench,3,pairwise,logodds_regret,48,0.1155664311574525,0.08456778277027961,0.15075952346730032,10000
perception_lm_8b,herbench,3,pairwise,gold_probability_regret,48,0.01558146220762177,0.009767397690924811,0.02259779315138391,10000
perception_lm_8b,herbench,3,pairwise,correct,48,0.4839244378306878,0.4055706431878306,0.5608148354828042,10000
perception_lm_8b,herbench,3,singleton,optimal_set_recovered,48,0.5566261574074074,0.49307467344576733,0.6172876364087303,10000
perception_lm_8b,herbench,3,singleton,logodds_regret,48,0.3029374659534369,0.23742311251983092,0.37943170612221166,10000
perception_lm_8b,herbench,3,singleton,gold_probability_regret,48,0.033059616755108115,0.023126870540540523,0.04709273170083136,10000
perception_lm_8b,herbench,3,singleton,correct,48,0.4540467923280424,0.38424158812830694,0.5240990823412699,10000
perception_lm_8b,lvbench,2,exhaustive,optimal_set_recovered,91,1.0,1.0,1.0,10000
perception_lm_8b,lvbench,2,exhaustive,logodds_regret,91,0.0,0.0,0.0,10000
perception_lm_8b,lvbench,2,exhaustive,gold_probability_regret,91,0.0,0.0,0.0,10000
perception_lm_8b,lvbench,2,exhaustive,correct,91,0.6425824175824175,0.5710576923076922,0.7121817765567765,10000
perception_lm_8b,lvbench,2,pairwise,optimal_set_recovered,91,1.0,1.0,1.0,10000
perception_lm_8b,lvbench,2,pairwise,logodds_regret,91,0.0,0.0,0.0,10000
perception_lm_8b,lvbench,2,pairwise,gold_probability_regret,91,0.0,0.0,0.0,10000
perception_lm_8b,lvbench,2,pairwise,correct,91,0.6425824175824175,0.5715178571428571,0.7123626373626374,10000
perception_lm_8b,lvbench,2,singleton,optimal_set_recovered,91,0.5271978021978021,0.46813186813186825,0.5852586996336996,10000
perception_lm_8b,lvbench,2,singleton,logodds_regret,91,0.1703407250346021,0.12801619669737307,0.2177664524141267,10000
perception_lm_8b,lvbench,2,singleton,gold_probability_regret,91,0.017732020856748097,0.01116977654199124,0.025720970231268805,10000
perception_lm_8b,lvbench,2,singleton,correct,91,0.6193223443223443,0.5454212454212456,0.6896520146520148,10000
perception_lm_8b,lvbench,3,exhaustive,optimal_set_recovered,91,1.0,1.0,1.0,10000
perception_lm_8b,lvbench,3,exhaustive,logodds_regret,91,0.0,0.0,0.0,10000
perception_lm_8b,lvbench,3,exhaustive,gold_probability_regret,91,0.0,0.0,0.0,10000
perception_lm_8b,lvbench,3,exhaustive,correct,91,0.6480769230769231,0.5768292124542124,0.7164858058608057,10000
perception_lm_8b,lvbench,3,pairwise,optimal_set_recovered,91,0.7026556776556777,0.6430402930402931,0.7594322344322343,10000
perception_lm_8b,lvbench,3,pairwise,logodds_regret,91,0.08645404004981927,0.06033163780513802,0.11618912214685707,10000
perception_lm_8b,lvbench,3,pairwise,gold_probability_regret,91,0.007677785035820365,0.005410220004579208,0.010197771536029967,10000
perception_lm_8b,lvbench,3,pairwise,correct,91,0.6416666666666666,0.5705128205128205,0.7087912087912088,10000
perception_lm_8b,lvbench,3,singleton,optimal_set_recovered,91,0.5954212454212454,0.5349771062271063,0.6545810439560439,10000
perception_lm_8b,lvbench,3,singleton,logodds_regret,91,0.17794880954691739,0.13143273259856675,0.23293065761278264,10000
perception_lm_8b,lvbench,3,singleton,gold_probability_regret,91,0.014214811825674658,0.009939339694446795,0.018943357265881478,10000
perception_lm_8b,lvbench,3,singleton,correct,91,0.6248168498168498,0.5531135531135533,0.6943223443223444,10000
perception_lm_8b,nextgqa,2,exhaustive,optimal_set_recovered,184,1.0,1.0,1.0,10000
perception_lm_8b,nextgqa,2,exhaustive,logodds_regret,184,0.0,0.0,0.0,10000
perception_lm_8b,nextgqa,2,exhaustive,gold_probability_regret,184,0.0,0.0,0.0,10000
perception_lm_8b,nextgqa,2,exhaustive,correct,184,0.7907608695652174,0.7350543478260869,0.84375,10000
perception_lm_8b,nextgqa,2,pairwise,optimal_set_recovered,184,1.0,1.0,1.0,10000
perception_lm_8b,nextgqa,2,pairwise,logodds_regret,184,0.0,0.0,0.0,10000
perception_lm_8b,nextgqa,2,pairwise,gold_probability_regret,184,0.0,0.0,0.0,10000
perception_lm_8b,nextgqa,2,pairwise,correct,184,0.7907608695652174,0.7350543478260869,0.84375,10000
perception_lm_8b,nextgqa,2,singleton,optimal_set_recovered,184,0.6082427536231885,0.5634057971014492,0.6535326086956522,10000
perception_lm_8b,nextgqa,2,singleton,logodds_regret,184,0.13655781581323986,0.10815982810534239,0.16711224215495768,10000
perception_lm_8b,nextgqa,2,singleton,gold_probability_regret,184,0.0074649000545016966,0.005083781220877383,0.010130256928447814,10000
perception_lm_8b,nextgqa,2,singleton,correct,184,0.7771739130434783,0.720108695652174,0.8328804347826086,10000
perception_lm_8b,nextgqa,3,exhaustive,optimal_set_recovered,184,1.0,1.0,1.0,10000
perception_lm_8b,nextgqa,3,exhaustive,logodds_regret,184,0.0,0.0,0.0,10000
perception_lm_8b,nextgqa,3,exhaustive,gold_probability_regret,184,0.0,0.0,0.0,10000
perception_lm_8b,nextgqa,3,exhaustive,correct,184,0.78125,0.7241847826086957,0.8355978260869565,10000
perception_lm_8b,nextgqa,3,pairwise,optimal_set_recovered,184,0.7006340579710146,0.6530797101449275,0.7477355072463768,10000
perception_lm_8b,nextgqa,3,pairwise,logodds_regret,184,0.086854929253003,0.0618505170779168,0.117189630127601,10000
perception_lm_8b,nextgqa,3,pairwise,gold_probability_regret,184,0.00463102760212845,0.0027341965598763705,0.006955970903670627,10000
perception_lm_8b,nextgqa,3,pairwise,correct,184,0.7730978260869565,0.7146739130434783,0.8274456521739131,10000
perception_lm_8b,nextgqa,3,singleton,optimal_set_recovered,184,0.5991847826086957,0.5461956521739131,0.6508152173913043,10000
