model,benchmark,budget,contrast,metric,source_video_clusters,estimate,ci_low,ci_high,p_two_sided,bootstrap_draws
internvl35_38b,lvbench,2,exhaustive_minus_pairwise,accuracy_gain,91,0.0,0.0,0.0,1.0,10000
internvl35_38b,lvbench,3,pairwise_minus_singleton,optimal_set_recovery_gain,91,0.10155677655677656,0.02646291208791209,0.1757371794871794,0.0096990300969903,10000
internvl35_38b,lvbench,3,pairwise_minus_singleton,logodds_regret_reduction,91,0.14295476754234102,0.08352220896177144,0.20979027282975693,9.999000099990002e-05,10000
internvl35_38b,lvbench,3,pairwise_minus_singleton,gold_probability_regret_reduction,91,0.011916995588376653,0.0067454904261863855,0.017513496888060497,9.999000099990002e-05,10000
internvl35_38b,lvbench,3,pairwise_minus_singleton,accuracy_gain,91,0.020238095238095236,0.006776556776556777,0.03498168498168498,0.0051994800519948,10000
internvl35_38b,lvbench,3,exhaustive_minus_singleton,optimal_set_recovery_gain,91,0.4971611721611721,0.4423992673992674,0.5515590659340659,9.999000099990002e-05,10000
internvl35_38b,lvbench,3,exhaustive_minus_singleton,logodds_regret_reduction,91,0.24028180772727287,0.18468373543662342,0.3029223526951197,9.999000099990002e-05,10000
internvl35_38b,lvbench,3,exhaustive_minus_singleton,gold_probability_regret_reduction,91,0.022862890171618525,0.01719403205107213,0.029355795791507634,9.999000099990002e-05,10000
internvl35_38b,lvbench,3,exhaustive_minus_singleton,accuracy_gain,91,0.03397435897435898,0.017582417582417582,0.053296703296703295,9.999000099990002e-05,10000
internvl35_38b,lvbench,3,exhaustive_minus_pairwise,optimal_set_recovery_gain,91,0.3956043956043956,0.33772893772893775,0.45476648351648347,9.999000099990002e-05,10000
internvl35_38b,lvbench,3,exhaustive_minus_pairwise,logodds_regret_reduction,91,0.09732704018493184,0.07462018814019934,0.1226463419486607,9.999000099990002e-05,10000
internvl35_38b,lvbench,3,exhaustive_minus_pairwise,gold_probability_regret_reduction,91,0.010945894583241874,0.007420925399820347,0.015395470350278904,9.999000099990002e-05,10000
internvl35_38b,lvbench,3,exhaustive_minus_pairwise,accuracy_gain,91,0.013736263736263736,0.0027472527472527475,0.03021978021978022,0.12378762123787622,10000
internvl35_38b,nextgqa,2,pairwise_minus_singleton,optimal_set_recovery_gain,184,0.396286231884058,0.3473731884057971,0.4451992753623188,9.999000099990002e-05,10000
internvl35_38b,nextgqa,2,pairwise_minus_singleton,logodds_regret_reduction,184,0.11670243325896278,0.09217513493860018,0.1424143595039051,9.999000099990002e-05,10000
internvl35_38b,nextgqa,2,pairwise_minus_singleton,gold_probability_regret_reduction,184,0.008752432241751503,0.0055604605754510945,0.012697809358540327,9.999000099990002e-05,10000
internvl35_38b,nextgqa,2,pairwise_minus_singleton,accuracy_gain,184,0.009510869565217392,0.001358695652173913,0.020380434782608696,0.12588741125887412,10000
