budget,method,settings,optimal_set_recovery,mean_logodds_regret,mean_gold_probability_regret,accuracy
2,exhaustive,9,1.0,0.0,0.0,0.7216666666666667
2,pairwise,9,1.0,0.0,0.0,0.7216666666666667
2,singleton,9,0.5463888888888889,0.2712974912928563,0.01899089410819345,0.7002777777777778
3,exhaustive,9,1.0,0.0,0.0,0.7186111111111111
3,pairwise,9,0.6861111111111111,0.13617017340807536,0.0092658045174765,0.7086111111111112
3,singleton,9,0.5519444444444445,0.3256101024661522,0.022209000837732727,0.6919444444444445
