term,coefficient,std_error_clustered_source_video,z_value,p_value,odds_ratio_per_sd
Intercept,-0.29640897129566157,0.2401991796215455,-1.2340132541779678,0.21719796537931857,0.7434833025055873
z_interaction_debt,0.05514222942600526,0.08466293506029429,0.6513148804342147,0.5148432446336016,1.0566908965276682
z_evidence_recall,0.03864465894252432,0.1950436844107911,0.19813335181431924,0.8429407310860564,1.0394010761436796
z_summed_siglip_relevance,-0.09790916740925758,0.1361001692070764,-0.7193904899580895,0.47190035476125525,0.9067312607630362
z_temporal_coverage,-0.12224140855552051,0.08618218841500566,-1.4184068750595382,0.1560720095614246,0.8849347119038686
model[perception_lm_8b],-0.5678674577050977,0.25235472725994174,-2.250274698124269,0.02443151305239973,0.566732732461374
model[qwen3_vl_32b],-0.29297765673858395,0.18875538509339532,-1.5521552224516397,0.12062508728865123,0.7460388094511496
benchmark[lvbench],-0.2294493207116325,0.34175472555667463,-0.6713859489079163,0.5019746937742757,0.7949712561944964
benchmark[nextgqa],1.7144276946824555,0.44516281112622713,3.851237461514558,0.00011752247458156684,5.553496307242598
