model,benchmark,order,components,mean_component,mean_absolute_component,absolute_component_mass
qwen3_vl_32b,nextgqa,0,400,5.342370527529085,7.225685855083145,2890.274342033258
qwen3_vl_32b,nextgqa,1,1600,1.0241842354245552,1.9211240437555566,3073.7984700088905
qwen3_vl_32b,nextgqa,2,2400,-0.577883602459096,1.2363944590104894,2967.346701625175
qwen3_vl_32b,nextgqa,3,1600,0.4252554637863218,1.0329574682863312,1652.73194925813
qwen3_vl_32b,nextgqa,4,400,-0.2575841904842487,1.0006997643982338,400.27990575929357
