metric,condition,settings,equal_setting_item_mean,ci_low,ci_high,selector_name
gold_vs_rest_logodds,aks_fixedk8,18,0.5411131926096661,0.350945362797768,0.7387445189720663,AKS
gold_vs_rest_logodds,bolt_its8,18,0.6089368830406678,0.4196576433573335,0.8032898424861692,BOLT-ITS
gold_vs_rest_logodds,dino_change8,18,0.4100767220159331,0.2180029374087964,0.6067426425032703,DINO change
gold_vs_rest_logodds,dino_diversity8,18,0.43000473381513726,0.2392526191650436,0.6270972068829338,DINO diversity
gold_vs_rest_logodds,mdp3_8,18,0.7976473190949183,0.60358240092236,0.9977618724373467,MDP3
gold_vs_rest_logodds,plain_dpp_8,18,0.8058890772313074,0.6104230844004103,1.0063993868002208,Plain DPP
gold_vs_rest_logodds,random8,18,0.49442774614628526,0.30335363776915913,0.6921352501288435,Seeded random
gold_vs_rest_logodds,siglip_dino_submodular8,18,0.6261555623164452,0.43941692956353806,0.820852464024585,Relevance-diversity
gold_vs_rest_logodds,siglip_relevance8,18,0.5411131926096661,0.350945362797768,0.7387445189720663,SigLIP relevance
gold_vs_rest_logodds,uniform8,18,0.47933533312637355,0.296480752478324,0.6646622982551119,Uniform
correct,aks_fixedk8,18,0.5229124579124579,0.5045033393399303,0.5419118626559032,AKS
correct,bolt_its8,18,0.5256150392817059,0.5064223822020455,0.5457855455485389,BOLT-ITS
correct,dino_change8,18,0.5012334455667788,0.4812726960052522,0.5223923482655841,DINO change
correct,dino_diversity8,18,0.5102873176206509,0.48975117478935826,0.5315594100940161,DINO diversity
correct,mdp3_8,18,0.5397676767676767,0.5193098900529437,0.5615973700416174,MDP3
correct,plain_dpp_8,18,0.5421919191919191,0.5210969792556013,0.5644420350217912,Plain DPP
correct,random8,18,0.5125982042648709,0.4933272440625622,0.5326947032907821,Seeded random
correct,siglip_dino_submodular8,18,0.5280864197530862,0.5089263440979058,0.5483158030478057,Relevance-diversity
correct,siglip_relevance8,18,0.5229124579124579,0.5045033393399303,0.5419118626559032,SigLIP relevance
correct,uniform8,18,0.5120830527497193,0.49296364683833627,0.5318435757727498,Uniform
