model,benchmark,order,components,mean_component,mean_absolute_component,absolute_component_mass
qwen3_vl_32b,lvbench,0,400,-1.4018712551917707,4.609257483415249,1843.7029933660995
qwen3_vl_32b,lvbench,1,1600,2.786352838073155,3.8391153475423287,6142.584556067726
qwen3_vl_32b,lvbench,2,2400,-1.8259641951836174,2.8127275603865183,6750.546144927644
qwen3_vl_32b,lvbench,3,1600,1.553870199026055,2.480332548352166,3968.5320773634658
qwen3_vl_32b,lvbench,4,400,-1.4730166632925372,2.4078856205418635,963.1542482167455
