model,benchmark,order,components,mean_component,mean_absolute_component,absolute_component_mass,total_absolute_component_mass,fraction_absolute_component
qwen3_vl_32b,lvbench,1,1600,2.786352838073155,3.8391153475423287,6142.584556067726,17824.81702657558,0.3446085615863295
qwen3_vl_32b,lvbench,2,2400,-1.8259641951836174,2.8127275603865183,6750.546144927644,17824.81702657558,0.3787161537121555
qwen3_vl_32b,lvbench,3,1600,1.553870199026055,2.480332548352166,3968.5320773634658,17824.81702657558,0.22264083112026656
qwen3_vl_32b,lvbench,4,400,-1.4730166632925372,2.4078856205418635,963.1542482167455,17824.81702657558,0.05403445358124847
