model,benchmark,robustness_condition,pair_type,cells,mean_interaction,mean_absolute_interaction,max_absolute_interaction,source_directory,median_interaction,negative_rate
internvl35_38b,nextgqa,reversed,outside_outside,75,-0.1943036510950272,0.3365367226554068,3.053624118678272,e8_analysis,,
internvl35_38b,nextgqa,slot_swap,evidence_evidence,75,-0.0007465827959216,0.6684478907507219,3.789969392179046,e8_analysis,,
internvl35_38b,nextgqa,slot_swap,outside_outside,75,-0.0680151421187717,0.3014923737481876,1.874143014661968,e8_analysis,,
internvl35_38b,nextgqa,,boundary_outside,75,0.0262443948476599,0.3884653613953439,,e8_boundary_offset_analysis,0.0152422224346082,0.4133333333333333
internvl35_38b,nextgqa,,evidence_boundary,75,0.0096930919583246,0.5495184826557428,,e8_boundary_offset_analysis,0.032309778034687,0.4266666666666667
internvl35_38b,nextgqa,,evidence_evidence,75,0.0424137940546036,0.6884785198242146,,e8_boundary_offset_analysis,0.0911809206008911,0.44
internvl35_38b,nextgqa,,evidence_outside,75,-0.0367940095394806,0.4198268823007553,,e8_boundary_offset_analysis,0.0056696236133575,0.4666666666666667
internvl35_38b,nextgqa,,outside_outside,75,0.0007674184801362,0.2925122902212145,,e8_boundary_offset_analysis,0.0022957823239266,0.44
perception_lm_8b,herbench,direct_rgb_png,evidence_evidence,75,-0.2803046302000682,0.5365125472843647,3.180078566074372,e8_direct_rgb_analysis,,
perception_lm_8b,herbench,direct_rgb_png,outside_outside,75,0.0375619870051741,0.2977726054812471,2.0108543038368225,e8_direct_rgb_analysis,,
perception_lm_8b,herbench,extra_context,evidence_evidence,50,-0.154077910836786,0.6347114219702781,2.884854756295681,e8_extra_context_analysis,,
perception_lm_8b,herbench,extra_context,outside_outside,50,0.2105819396115839,0.3337836883030832,1.7768325805664062,e8_extra_context_analysis,,
perception_lm_8b,herbench,hard_distractor,evidence_evidence,25,-0.1357668500393629,0.6147853683680296,1.9797757863998413,e8_hard_distractor_analysis,,
perception_lm_8b,herbench,hard_distractor,outside_outside,25,0.0926912507973611,0.1888123974762857,0.6718482375144958,e8_hard_distractor_analysis,,
perception_lm_8b,herbench,k16,evidence_evidence,75,-0.1446613467174271,0.4470907805549601,4.596936970949173,e8_k16_analysis,,
perception_lm_8b,herbench,k16,outside_outside,75,-0.0027361081540584,0.1378161588062842,0.8750400543212891,e8_k16_analysis,,
perception_lm_8b,herbench,noop,noop,75,0.0,0.0,0.0,e8_analysis,,
perception_lm_8b,herbench,reversed,evidence_evidence,75,-0.1764175581668193,0.6710770137530441,3.838594228029251,e8_analysis,,
perception_lm_8b,herbench,reversed,outside_outside,75,0.0039194947481155,0.2309706100821495,0.8320062644779682,e8_analysis,,
perception_lm_8b,herbench,slot_swap,evidence_evidence,75,-0.3085918833812078,0.581267996331056,3.725549384951592,e8_analysis,,
perception_lm_8b,herbench,slot_swap,outside_outside,75,0.0016200150176882,0.3027416120593746,1.83888778090477,e8_analysis,,
perception_lm_8b,herbench,,boundary_outside,75,-0.0317417429387569,0.258671112159888,,e8_boundary_offset_analysis,-0.0180420018732547,0.5466666666666666
perception_lm_8b,herbench,,evidence_boundary,75,-0.0509891737004121,0.357392742584149,,e8_boundary_offset_analysis,-0.0198614262044429,0.5066666666666667
perception_lm_8b,herbench,,evidence_evidence,75,-0.2916184342155853,0.5605898401886225,,e8_boundary_offset_analysis,-0.1294506043195724,0.6533333333333333
perception_lm_8b,herbench,,evidence_outside,75,-0.04623456026117,0.3355891184757153,,e8_boundary_offset_analysis,-0.0076315701007843,0.5066666666666667
perception_lm_8b,herbench,,outside_outside,75,0.0506252048909664,0.2745331134895483,,e8_boundary_offset_analysis,0.0237698107957839,0.4666666666666667
perception_lm_8b,lvbench,direct_rgb_png,evidence_evidence,75,-0.6241089221901105,0.8208236870235608,7.313640485546784,e8_direct_rgb_analysis,,
perception_lm_8b,lvbench,direct_rgb_png,outside_outside,75,-0.000643408188868,0.1901198719079063,1.8673982007749144,e8_direct_rgb_analysis,,
perception_lm_8b,lvbench,extra_context,evidence_evidence,50,-0.564403814629477,0.9170919732309994,7.235457997521735,e8_extra_context_analysis,,
perception_lm_8b,lvbench,extra_context,outside_outside,50,0.0569855633367842,0.2276213947306678,1.4212580919265747,e8_extra_context_analysis,,
perception_lm_8b,lvbench,hard_distractor,evidence_evidence,25,-0.2545972031587735,1.264623379507102,8.07017932832241,e8_hard_distractor_analysis,,
perception_lm_8b,lvbench,hard_distractor,outside_outside,25,0.1602307636663317,0.2876285467669368,3.61401641368866,e8_hard_distractor_analysis,,
perception_lm_8b,lvbench,k16,evidence_evidence,75,-0.4288598574514617,0.6193699332085089,6.710738465189934,e8_k16_analysis,,
perception_lm_8b,lvbench,k16,outside_outside,75,0.0345867588900728,0.1483403931726934,2.3852658828836866,e8_k16_analysis,,
perception_lm_8b,lvbench,noop,noop,75,0.0,0.0,0.0,e8_analysis,,
perception_lm_8b,lvbench,reversed,evidence_evidence,75,-0.2659995347959921,0.6621908155782148,4.61127196252346,e8_analysis,,
perception_lm_8b,lvbench,reversed,outside_outside,75,-0.0217460175786012,0.2416516527653827,3.0578834356274456,e8_analysis,,
perception_lm_8b,lvbench,slot_swap,evidence_evidence,75,-0.6059425057975265,0.7713266011009303,6.788619154394837,e8_analysis,,
perception_lm_8b,lvbench,slot_swap,outside_outside,75,0.0436691823295162,0.2157003902003634,1.4396076884004287,e8_analysis,,
perception_lm_8b,lvbench,,boundary_outside,75,-0.0103864347143098,0.2013637085460747,,e8_boundary_offset_analysis,0.0127555727958679,0.48
perception_lm_8b,lvbench,,evidence_boundary,75,-0.2576241812317554,0.5135851985920453,,e8_boundary_offset_analysis,0.004443734884262,0.4933333333333333
perception_lm_8b,lvbench,,evidence_evidence,75,-0.6104690845044873,0.8039650443427188,,e8_boundary_offset_analysis,-0.1227964013814926,0.6133333333333333
perception_lm_8b,lvbench,,evidence_outside,75,-0.0417425049107987,0.3234460739166631,,e8_boundary_offset_analysis,0.0126780569553375,0.4933333333333333
perception_lm_8b,lvbench,,outside_outside,75,-0.0051170712031307,0.2079369500266815,,e8_boundary_offset_analysis,-0.0095570683479309,0.5066666666666667
perception_lm_8b,nextgqa,direct_rgb_png,evidence_evidence,75,-0.0889846502582865,0.5338369546088324,2.854504738268588,e8_direct_rgb_analysis,,
perception_lm_8b,nextgqa,direct_rgb_png,outside_outside,75,-0.0469067965910229,0.2938764369777527,2.1119281500577927,e8_direct_rgb_analysis,,
perception_lm_8b,nextgqa,extra_context,evidence_evidence,50,-0.1193192516260023,0.4896825414377417,1.6131009683012962,e8_extra_context_analysis,,
perception_lm_8b,nextgqa,extra_context,outside_outside,50,0.0249937393553955,0.3845328838708337,2.3436993956565857,e8_extra_context_analysis,,
perception_lm_8b,nextgqa,hard_distractor,evidence_evidence,25,0.084200729736076,0.4920210642031816,1.8224380967440084,e8_hard_distractor_analysis,,
perception_lm_8b,nextgqa,hard_distractor,outside_outside,25,0.1992954122232731,0.3805537419397842,1.9153848895803092,e8_hard_distractor_analysis,,
perception_lm_8b,nextgqa,k16,evidence_evidence,75,-0.155903843843195,0.4201971924918022,4.04103244934231,e8_k16_analysis,,
perception_lm_8b,nextgqa,k16,outside_outside,75,-0.0636914901459992,0.2419031699290887,1.9933195961639285,e8_k16_analysis,,
perception_lm_8b,nextgqa,noop,noop,75,0.0,0.0,0.0,e8_analysis,,
perception_lm_8b,nextgqa,reversed,evidence_evidence,75,-0.1171660023647079,0.493338832671155,4.180517337168567,e8_analysis,,
perception_lm_8b,nextgqa,reversed,outside_outside,75,-0.1522332745966378,0.3304466202945999,3.050001509487629,e8_analysis,,
perception_lm_8b,nextgqa,slot_swap,evidence_evidence,75,-0.1599760622146398,0.5385546225454285,3.0302352862709085,e8_analysis,,
perception_lm_8b,nextgqa,slot_swap,outside_outside,75,-0.0564844081163695,0.3348622148790612,1.7310548052191734,e8_analysis,,
perception_lm_8b,nextgqa,,boundary_outside,75,-0.1369206038008208,0.3945035917093446,,e8_boundary_offset_analysis,-0.1249957070685923,0.6133333333333333
perception_lm_8b,nextgqa,,evidence_boundary,75,-0.2025141398330985,0.4560919819884536,,e8_boundary_offset_analysis,-0.1367713054642081,0.64
perception_lm_8b,nextgqa,,evidence_evidence,75,-0.0764044003798092,0.502141873984389,,e8_boundary_offset_analysis,-0.0647731750286766,0.5733333333333334
perception_lm_8b,nextgqa,,evidence_outside,75,-0.0717409128970393,0.3671363335659043,,e8_boundary_offset_analysis,-0.0979757942259311,0.5866666666666667
perception_lm_8b,nextgqa,,outside_outside,75,-0.0905988423587283,0.3129449982559284,,e8_boundary_offset_analysis,-0.0579618215379014,0.5733333333333334
qwen3_vl_32b,herbench,direct_rgb_png,evidence_evidence,75,-0.3477615720949147,1.068724172979138,6.503955200314522,e8_direct_rgb_analysis,,
qwen3_vl_32b,herbench,direct_rgb_png,outside_outside,75,-0.0195490929412528,0.4066594155981425,1.4242721647024157,e8_direct_rgb_analysis,,
qwen3_vl_32b,herbench,extra_context,evidence_evidence,50,0.2185584985220315,1.073472103702844,4.85784499998681,e8_extra_context_analysis,,
qwen3_vl_32b,herbench,extra_context,outside_outside,50,0.0598459206902714,0.6199345576790131,5.415043315384537,e8_extra_context_analysis,,
qwen3_vl_32b,herbench,hard_distractor,evidence_evidence,25,-0.192366958280929,1.006149960958799,2.464348580222577,e8_hard_distractor_analysis,,
qwen3_vl_32b,herbench,hard_distractor,outside_outside,25,-0.0693502198407483,0.6681475463156354,1.893803327693604,e8_hard_distractor_analysis,,
qwen3_vl_32b,herbench,k16,evidence_evidence,75,-0.1964440859240875,0.7754090713745873,5.329954754561186,e8_k16_analysis,,
