model,benchmark,robustness_condition,evidence_evidence,outside_outside,evidence_minus_outside_absolute_interaction
internvl35_38b,herbench,direct_rgb_png,0.6951668279369673,0.2169519450018803,0.47821488293508696
internvl35_38b,lvbench,direct_rgb_png,0.9841144999310684,0.1516567655629478,0.8324577343681205
internvl35_38b,nextgqa,direct_rgb_png,0.6605473858632589,0.2765484512549786,0.3839989346082803
perception_lm_8b,herbench,direct_rgb_png,0.5365125472843647,0.2977726054812471,0.23873994180311758
perception_lm_8b,lvbench,direct_rgb_png,0.8208236870235608,0.1901198719079063,0.6307038151156545
perception_lm_8b,nextgqa,direct_rgb_png,0.5338369546088324,0.2938764369777527,0.23996051763107973
qwen3_vl_32b,herbench,direct_rgb_png,1.068724172979138,0.4066594155981425,0.6620647573809955
qwen3_vl_32b,lvbench,direct_rgb_png,3.651774839876912,0.433473107522929,3.218301732353983
qwen3_vl_32b,nextgqa,direct_rgb_png,1.2551446577083751,0.5126106322236562,0.7425340254847189
internvl35_38b,herbench,extra_context,0.6619415570050478,0.4553261322155595,0.20661542478948824
internvl35_38b,lvbench,extra_context,0.8779286478896392,0.2582905415812274,0.6196381063084118
internvl35_38b,nextgqa,extra_context,0.7083639787631455,0.3464670911999474,0.3618968875631981
perception_lm_8b,herbench,extra_context,0.6347114219702781,0.3337836883030832,0.3009277336671949
perception_lm_8b,lvbench,extra_context,0.9170919732309994,0.2276213947306678,0.6894705785003317
perception_lm_8b,nextgqa,extra_context,0.4896825414377417,0.3845328838708337,0.10514965756690803
qwen3_vl_32b,herbench,extra_context,1.073472103702844,0.6199345576790131,0.453537546023831
qwen3_vl_32b,lvbench,extra_context,3.1220123037966165,0.5470501109314774,2.574962192865139
qwen3_vl_32b,nextgqa,extra_context,1.1959609039099983,0.730810083714139,0.4651508201958593
internvl35_38b,herbench,hard_distractor,0.5216708344407379,0.3128712072595954,0.20879962718114253
internvl35_38b,lvbench,hard_distractor,1.034711332891602,0.2429544686095323,0.7917568642820697
internvl35_38b,nextgqa,hard_distractor,0.3682001519378173,0.2100570399655771,0.1581431119722402
perception_lm_8b,herbench,hard_distractor,0.6147853683680296,0.1888123974762857,0.42597297089174385
perception_lm_8b,lvbench,hard_distractor,1.264623379507102,0.2876285467669368,0.9769948327401652
perception_lm_8b,nextgqa,hard_distractor,0.4920210642031816,0.3805537419397842,0.1114673222633974
