family,small_model,large_model,benchmark,evidence_minus_outside_utility_small,evidence_minus_outside_utility_large,evidence_minus_outside_utility_large_minus_small,evidence_context_std_small,evidence_context_std_large,evidence_context_std_large_minus_small,evidence_pair_absolute_interaction_small,evidence_pair_absolute_interaction_large,evidence_pair_absolute_interaction_large_minus_small,evidence_minus_outside_absolute_interaction_small,evidence_minus_outside_absolute_interaction_large,evidence_minus_outside_absolute_interaction_large_minus_small,best_selector_logodds_small,best_selector_logodds_large,best_selector_logodds_large_minus_small,selector_accuracy_small,selector_accuracy_large,selector_accuracy_large_minus_small
internvl,internvl35_8b,internvl35_38b,herbench,0.018622470520191798,0.0907166982108997,0.0720942276907079,0.4803139983936017,0.4628912290730245,-0.017422769320577236,0.4653911837457102,0.4836971109696508,0.018305927223940588,0.2046649483050763,0.2691429308389003,0.06447798253382397,-0.610301831034245,-0.526131224680692,0.084170606353553,0.488,0.516,0.028000000000000025
internvl,internvl35_8b,internvl35_38b,lvbench,0.9389208035215477,0.8435656330454838,-0.0953551704760639,0.6601921165417286,0.5543130992335038,-0.1058790173082248,0.9329930464613642,0.815796336100443,-0.11719671036092116,0.701781760830699,0.6313676306748734,-0.07041413015582554,-0.5977823341479116,-0.3835738303093339,0.2142085038385777,0.4,0.47,0.06999999999999995
internvl,internvl35_8b,internvl35_38b,nextgqa,0.4321493319722917,0.5152635691036601,0.0831142371313684,0.7275404328881698,0.8387658270941014,0.11122539420593158,0.736215493433063,0.8302767238627283,0.0940612304296653,0.38024610066632103,0.4637254652201476,0.0834793645538266,2.946708001400885,3.704308511056085,0.7576005096552003,0.7878787878787878,0.8383838383838383,0.0505050505050505
qwen,qwen3_vl_4b,qwen3_vl_32b,herbench,0.3236333658778972,0.4124689896704226,0.08883562379252541,1.1742338842815128,1.023133736703079,-0.1511001475784337,1.0436216788011978,1.0181406722888442,-0.025481006512353632,0.5506458733456217,0.5856590781402409,0.035013204794619224,-0.5893483354981099,-0.3276262890547802,0.26172204644332975,0.502,0.514,0.01200000000000001
qwen,qwen3_vl_4b,qwen3_vl_32b,lvbench,1.7098430288086641,2.6603480608541297,0.9505050320454655,1.2331146297405111,1.6131086807986712,0.3799940510581601,2.0544670625207013,2.721787210518756,0.6673201479980548,1.6538075375368047,2.2366670773260777,0.5828595397892731,-0.4974831955460442,-0.0948585701222897,0.4026246254237545,0.43,0.45,0.020000000000000018
qwen,qwen3_vl_4b,qwen3_vl_32b,nextgqa,0.8671059767833964,1.0600516850677986,0.19294570828440216,1.41170087080817,1.545122916629652,0.1334220458214821,1.583212721348964,1.6255087552671552,0.042296033918191256,0.9344101407720492,0.958973886169014,0.02456374539696482,5.114024195602127,7.193527880759782,2.079503685157655,0.7535353535353535,0.8282828282828283,0.07474747474747478
