model,benchmark,condition,items,accuracy,mean_logodds,evidence_recall_at_k,temporal_coverage,charged_candidate_frames,mean_seconds
videollama3_7b,nextgqa,aks_fixedk16,495,0.5535353535353535,-0.4474587253097332,0.2921717171717172,0.7732944076139507,64.0,1.5013753568283235
videollama3_7b,nextgqa,bolt_its16,495,0.5737373737373738,-0.40391856237512197,0.2741161616161616,0.8646487292227685,64.0,1.5002191331651475
videollama3_7b,nextgqa,dino_change16,495,0.5535353535353535,-0.46557593231813776,0.25176767676767675,0.7388232089934816,64.0,1.5001058385829733
videollama3_7b,nextgqa,dino_diversity16,495,0.5636363636363636,-0.45916238343531285,0.24684343434343434,0.9252844943162705,64.0,1.500149835721411
videollama3_7b,nextgqa,random16,495,0.5515151515151515,-0.42812769557960856,0.2390151515151515,0.907423984390837,64.0,1.5002848788945362
videollama3_7b,nextgqa,siglip_dino_submodular16,495,0.5454545454545454,-0.4537457285317207,0.2744949494949495,0.8996321907433125,64.0,1.5001059170925255
videollama3_7b,nextgqa,siglip_relevance16,495,0.5535353535353535,-0.4474587253097332,0.2921717171717172,0.7732944076139507,64.0,1.500265792885212
videollama3_7b,nextgqa,uniform16,495,0.5535353535353535,-0.4348730075897442,0.23068181818181818,0.9999652556383334,64.0,1.499909937020504
