model,benchmark,topology,cells,mean_interaction,median_interaction,mean_absolute_interaction,negative_rate
qwen3_vl_4b,nextgqa,boundary_outside,1500,-0.069278655233054,-0.008105486881049728,0.8349689042081523,0.5106666666666667
qwen3_vl_4b,nextgqa,evidence_boundary,1500,-0.29287099663249366,-0.058311057748085204,1.1759025515407047,0.542
qwen3_vl_4b,nextgqa,evidence_evidence_distinct_interval,144,-0.42949609947397044,0.010017865235568024,1.4478752143725353,0.4861111111111111
qwen3_vl_4b,nextgqa,evidence_evidence_same_interval,1356,-0.7341145308706685,-0.15467257793716271,1.5975848459836288,0.5648967551622419
qwen3_vl_4b,nextgqa,evidence_outside,1500,-0.07167236684252093,-1.5286394045688212e-05,0.9378849703888684,0.5006666666666667
qwen3_vl_4b,nextgqa,outside_outside,1500,-0.05372192128939405,-0.00017740903422236443,0.6488025805769148,0.5066666666666667
