model,benchmark,pair_type,cells,mean_interaction,median_interaction,mean_absolute_interaction,negative_rate
qwen3_vl_4b,herbench,boundary_outside,1500,-0.02838099523376574,0.00022829626686871052,0.5701318992746005,0.4886666666666667
qwen3_vl_4b,herbench,evidence_boundary,1500,-0.09863918256021342,-0.0025446591898798943,0.7933510704380022,0.5166666666666667
qwen3_vl_4b,herbench,evidence_evidence,1500,-0.04660133254548854,3.0102632081252523e-05,1.0436216788011978,0.49466666666666664
qwen3_vl_4b,herbench,evidence_outside,1500,-0.07393428668022034,-0.010554480366408825,0.7327366168799272,0.52
qwen3_vl_4b,herbench,outside_outside,1500,0.0049782307711446,0.001229944871738553,0.49297580545557623,0.486
