model,benchmark,condition,items,accuracy,mean_logodds,evidence_recall_at_k,temporal_coverage,charged_candidate_frames,mean_seconds
qwen3_vl_4b,nextgqa,aks_fixedk16,495,0.7636363636363637,4.937299776148197,0.2921717171717172,0.7732944076139507,64.0,0.15455402220138395
qwen3_vl_4b,nextgqa,bolt_its16,495,0.7696969696969697,5.173682244967181,0.2741161616161616,0.8646487292227685,64.0,0.15235943360762164
qwen3_vl_4b,nextgqa,dino_change16,495,0.7535353535353535,4.796627479854446,0.25176767676767675,0.7388232089934816,64.0,0.15255209219576132
qwen3_vl_4b,nextgqa,dino_diversity16,495,0.7696969696969697,5.052005061932176,0.24684343434343434,0.9252844943162705,64.0,0.15279837906962693
qwen3_vl_4b,nextgqa,random16,495,0.7616161616161616,5.090860324668732,0.2390151515151515,0.907423984390837,64.0,0.15308135446875987
qwen3_vl_4b,nextgqa,siglip_dino_submodular16,495,0.7656565656565657,5.151767936312702,0.2744949494949495,0.8996321907433125,64.0,0.1525416167095454
qwen3_vl_4b,nextgqa,siglip_relevance16,495,0.7636363636363637,4.937299776148197,0.2921717171717172,0.7732944076139507,64.0,0.15263059355995873
qwen3_vl_4b,nextgqa,uniform16,495,0.7656565656565657,4.9000580266639515,0.23068181818181818,0.9999652556383334,64.0,0.15255178297408903
